timestamp,source,destination,protocol,length,prediction,distance
2025-04-13 19:41:42,192.168.56.1,239.255.255.250,SSDP,209,normal,1.8637674378831481
2025-04-13 19:41:52,192.168.56.1,239.255.255.250,SSDP,209,normal,1.862210371583434
2025-04-13 19:42:02,192.168.56.1,239.255.255.250,SSDP,209,normal,1.8632095918699008
2025-04-13 19:42:12,192.168.56.1,239.255.255.250,SSDP,209,normal,1.8579196261976243
2025-04-13 19:42:22,192.168.56.1,239.255.255.250,SSDP,209,normal,1.8590604429270496
2025-04-13 19:42:32,192.168.56.1,239.255.255.250,SSDP,209,normal,1.8612454884550604
2025-04-13 19:42:42,192.168.56.1,239.255.255.250,SSDP,209,normal,1.8619326417846687
2025-04-13 19:42:52,192.168.56.1,239.255.255.250,SSDP,209,normal,1.8627297584336582
2025-04-13 19:43:02,192.168.56.1,239.255.255.250,SSDP,209,normal,1.8631833178520991
2025-04-13 19:43:12,192.168.56.1,239.255.255.250,SSDP,209,normal,1.8615391817835683
2025-04-13 19:43:22,192.168.56.1,239.255.255.250,SSDP,209,normal,1.8635305933898973
2025-04-13 19:43:32,192.168.56.1,239.255.255.250,SSDP,209,normal,1.860236107829262
2025-04-13 19:43:42,192.168.56.1,239.255.255.250,SSDP,209,normal,1.8611255198977665
2025-04-13 19:43:52,192.168.56.1,239.255.255.250,SSDP,209,normal,1.860796515510725
2025-04-13 19:43:56,,,SSDP,157,normal,1.8597298207727193
2025-04-13 19:43:56,192.168.56.1,239.255.255.250,SSDP,143,normal,1.8610591468000492
2025-04-13 19:43:56,192.168.56.1,224.0.0.251,MDNS,75,normal,1.5099744602678524
2025-04-13 19:43:56,,,MDNS,95,normal,1.5091297818352936
2025-04-13 19:43:56,192.168.56.1,224.0.0.251,MDNS,77,normal,1.5081962239726108
2025-04-13 19:43:56,,,MDNS,97,normal,1.508438148322528
2025-04-13 19:43:56,192.168.56.1,224.0.0.251,MDNS,78,normal,1.5084994511415464
2025-04-13 19:43:56,,,MDNS,98,normal,1.5079870660721002
2025-04-13 19:43:56,192.168.56.1,224.0.0.251,MDNS,75,normal,1.507166622394183
2025-04-13 19:43:56,,,MDNS,95,normal,1.5099349698161246
2025-04-13 19:43:56,192.168.56.1,224.0.0.251,MDNS,76,normal,1.5069997161856254
2025-04-13 19:43:56,,,MDNS,96,normal,1.5065311735651299
2025-04-13 19:43:56,,,XML,686,normal,1.3693717101977803
2025-04-13 19:43:56,192.168.56.1,239.255.255.250,XML,666,normal,1.365023962187041
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,125,normal,1.2873358531821457
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,125,normal,1.2861274830803027
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,125,normal,1.2932661198182098
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,125,normal,1.2928862764970457
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,125,normal,1.2919438712547033
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,125,normal,1.2886795879515744
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,125,normal,1.287067867057876
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,70,normal,1.2861298956974632
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,70,normal,1.2834604574383994
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,70,normal,1.2869167066746245
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,70,normal,1.2886830335267097
2025-04-13 19:43:56,192.168.56.1,192.168.56.255,DATA,70,normal,1.2910040822889814
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,70,normal,1.2924522135192866
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,70,normal,1.2881197243692177
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,70,normal,1.2852759593072711
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,70,normal,1.2874309694719845
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,70,normal,1.2862794764348802
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,70,normal,1.2901778363746708
2025-04-13 19:43:56,192.168.56.1,192.168.56.255,DATA,70,normal,1.2869756231666982
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,70,normal,1.286364262403278
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,70,normal,1.2889367287913436
2025-04-13 19:43:56,192.168.56.1,255.255.255.255,DATA,56,normal,1.2882686715048421
